name,position,team,bye,site0,rank0,value0,site1,rank1,tier,posrank,value1,diff,Espn top 100,Rotoworld ranked,Rotoworld top 100,Both top,any top,"R top, E not top","R rank, e not top",big diff
A. Blue,RB,HOU,9,espn,89,3,rotoworld,129,rbT8,rb52,,40,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE
A. Abdullah,RB,DET,9,espn,90,3,rotoworld,75,rbT6,rb30,,-15,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
C. Sims,RB,TB,6,espn,91,3,rotoworld,93,rbT6,rb38,,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Freeman,RB,ATL,10,espn,92,3,rotoworld,90,rbT6,rb37,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
B. Sankey,RB,TEN,4,espn,94,3,rotoworld,97,rbT7,rb41,,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Foster,RB,HOU,9,espn,95,3,rotoworld,45,rbT4,rb20,,-50,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
D. Johnson,RB,CLE,11,espn,98,2,rotoworld,131,rbT8,rb53,,33,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE
A. Williams,RB,NYG,11,espn,100,2,rotoworld,108,rbT8,rb45,,8,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
L. Taliaferro,RB,BAL,9,espn,101,2,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
F. Jackson,RB,BUF,8,espn,102,2,rotoworld,106,rbT8,rb44,,4,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
M. Ball,RB,DEN,7,espn,103,2,rotoworld,153,rbT8,rb61,,50,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Williams,RB,PIT,11,espn,106,2,rotoworld,149,rbT8,rb59,,43,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
K. Davis,RB,KC,9,espn,109,2,rotoworld,104,rbT7,rb43,,-5,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
T. Riddick,RB,DET,9,espn,110,2,rotoworld,169,rbT8,rb64,,59,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Robinson,RB,JAC,8,espn,117,2,rotoworld,150,rbT8,rb60,,33,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
J. McKinnon,RB,MIN,5,espn,121,2,rotoworld,122,rbT8,rb50,,1,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
T. West,RB,CLE,11,espn,122,2,rotoworld,147,rbT8,rb58,,25,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
R. Bush,RB,SF,10,espn,123,2,rotoworld,98,rbT7,rb42,,-25,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,TRUE
D. Cobb,RB,TEN,4,espn,124,2,rotoworld,88,rbT6,rb36,,-36,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,TRUE
J. Ajayi,RB,MIA,5,espn,127,2,rotoworld,186,rbT9,rb66,,59,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Sproles,RB,PHI,8,espn,130,2,rotoworld,117,rbT8,rb49,,-13,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
D. Woodhead,RB,SD,10,espn,134,1,rotoworld,113,rbT8,rb46,,-21,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
D. Johnson,RB,ARI,9,espn,136,1,rotoworld,115,rbT8,rb48,,-21,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Gray,RB,NE,4,espn,137,1,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. White,RB,NE,4,espn,144,1,rotoworld,125,rbT8,rb51,,-19,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
D. Herron,RB,IND,10,espn,146,1,rotoworld,142,rbT8,rb56,,-4,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
K. Robinson,RB,NO,11,espn,161,0,rotoworld,173,rbT8,rb65,,12,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
R. Helu,RB,OAK,6,espn,162,0,rotoworld,134,rbT8,rb55,,-28,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
S. Ridley,RB,NYJ,5,espn,164,0,rotoworld,162,rbT8,rb62,,-2,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
C. Artis-Payne,RB,CAR,5,espn,167,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Jones,RB,WAS,8,espn,169,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Oliver,RB,SD,10,espn,170,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
D. Brown,RB,SD,10,espn,173,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
C. Michael,RB,SEA,9,espn,176,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Langford,RB,CHI,7,espn,179,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Allen,RB,BAL,9,espn,181,0,rotoworld,165,rbT8,rb63,,-16,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
D. Williams,RB,MIA,5,espn,184,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
R. Turbin,RB,SEA,9,espn,193,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Starks,RB,GB,7,espn,198,0,rotoworld,187,rbT9,rb67,,-11,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
T. Richardson,RB,OAK,6,espn,203,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
C. Polk,RB,HOU,9,espn,205,0,rotoworld,133,rbT8,rb54,,-72,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
T. Cadet,RB,NE,4,espn,208,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Davis,RB,SF,10,espn,209,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
R. Hillman,RB,DEN,7,espn,210,0,rotoworld,189,rbT9,rb68,,-21,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
Z. Stacy,RB,NYJ,5,espn,211,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
T. Gerhart,RB,JAC,8,espn,212,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
P. Thomas,RB,FA,--,espn,216,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
C. Johnson,RB,FA,--,espn,218,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
A. Bradshaw,RB,FA,--,espn,227,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Asiata,RB,MIN,5,espn,230,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
A. Smith,RB,ATL,10,espn,231,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
K. Carey,RB,CHI,7,espn,235,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
L. Dunbar,RB,DAL,6,espn,240,0,rotoworld,143,rbT8,rb57,,-97,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Rodgers,RB,CHI,7,espn,241,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
K. Hunter,RB,SF,10,espn,244,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Rainey,RB,TB,6,espn,245,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Pierce,RB,JAC,8,espn,248,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Todman,RB,CAR,5,espn,249,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Robinson,RB,IND,10,espn,251,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Powell,RB,NYJ,5,espn,258,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Bolden,RB,NE,4,espn,259,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Grimes,RB,HOU,9,espn,261,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Dixon,RB,BUF,8,espn,263,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
T. Gaffney,RB,NE,4,espn,264,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Cunningham,RB,STL,6,espn,266,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Brown,RB,BUF,8,espn,268,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
D. Thomas,RB,KC,9,espn,271,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
D. McCluster,RB,TEN,4,espn,276,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Tolbert,RB,CAR,5,espn,281,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Reece,RB,OAK,6,espn,283,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
S. Johnson,RB,JAC,8,espn,288,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
C. Thompson,RB,WAS,8,espn,289,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
K. Williams,RB,ARI,9,espn,290,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
K. Williams,RB,BUF,8,espn,294,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
S. Redd,RB,WAS,8,espn,296,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
S. Taylor,RB,ARI,9,espn,299,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Harris,RB,PIT,11,espn,300,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
R. Gronkowski,TE,NE,4,espn,12,43,rotoworld,9,teT1,te1,,-3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Graham,TE,SEA,9,espn,32,27,rotoworld,30,teT2,te2,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
G. Olsen,TE,CAR,5,espn,63,7,rotoworld,62,teT3,te4,,-1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
T. Kelce,TE,KC,9,espn,70,6,rotoworld,40,teT2,te3,,-30,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
M. Bennett,TE,CHI,7,espn,76,5,rotoworld,63,teT3,te5,,-13,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
J. Thomas,TE,JAC,8,espn,81,4,rotoworld,94,teT4,te7,,13,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Witten,TE,DAL,6,espn,87,3,rotoworld,100,teT4,te9,,13,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE
Z. Ertz,TE,PHI,8,espn,111,2,rotoworld,91,teT4,te6,,-20,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,TRUE
D. Allen,TE,IND,10,espn,115,2,rotoworld,118,teT5,te12,,3,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
J. Cameron,TE,MIA,5,espn,120,2,rotoworld,99,teT4,te8,,-21,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,TRUE
D. Walker,TE,TEN,4,espn,145,1,rotoworld,139,teT5,te15,,-6,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
A. Gates,TE,SD,10,espn,172,0,rotoworld,103,teT5,te10,,-69,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Hill,TE,NO,11,espn,182,0,rotoworld,157,teT5,te19,,-25,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
V. Green,TE,DEN,7,rotoworld,192,,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
L. Donnell,TE,NYG,11,espn,194,0,rotoworld,116,teT5,te11,,-78,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
O. Daniels,TE,DEN,7,espn,196,0,rotoworld,163,teT6,te22,,-33,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Reed,TE,WAS,8,espn,204,0,rotoworld,141,teT5,te16,,-63,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
A. Seferian-Jenkins,TE,TB,6,espn,213,0,rotoworld,137,teT5,te14,,-76,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
K. Rudolph,TE,MIN,5,espn,215,0,rotoworld,151,teT5,te18,,-64,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
H. Miller,TE,PIT,11,espn,219,0,rotoworld,158,teT6,te20,,-61,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
C. Clay,TE,BUF,8,espn,242,0,rotoworld,161,teT6,te21,,-81,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
C. Fleener,TE,IND,10,espn,250,0,rotoworld,144,teT5,te17,,-106,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
E. Ebron,TE,DET,9,espn,272,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
T. Eifert,TE,CIN,7,espn,273,0,rotoworld,132,teT5,te13,,-141,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Amaro,TE,NYJ,5,espn,277,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Williams,TE,BAL,9,espn,278,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
V. Davis,TE,SF,10,espn,291,0,rotoworld,178,teT6,te23,,-113,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
R. Rodgers,TE,GB,7,espn,297,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
A. Brown,WR,PIT,11,espn,6,51,rotoworld,5,wrT1,wr2,,-1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Nelson,WR,GB,7,espn,16,39,rotoworld,21,wrT2,wr8,,5,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Thomas,WR,DEN,7,espn,10,47,rotoworld,10,wrT1,wr3,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Bryant,WR,DAL,6,espn,13,42,rotoworld,4,wrT1,wr1,,-9,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
O. Beckham,WR,NYG,11,espn,15,40,rotoworld,13,wrT1,wr5,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Jones,WR,ATL,10,espn,17,38,rotoworld,12,wrT1,wr4,,-5,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
C. Johnson,WR,DET,9,espn,18,37,rotoworld,14,wrT2,wr6,,-4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Green,WR,CIN,7,espn,19,37,rotoworld,16,wrT2,wr7,,-3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Jeffery,WR,CHI,7,espn,21,36,rotoworld,26,wrT2,wr11,,5,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
R. Cobb,WR,GB,7,espn,22,34,rotoworld,27,wrT2,wr12,,5,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
T. Hilton,WR,IND,10,espn,23,33,rotoworld,23,wrT2,wr10,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Evans,WR,TB,6,espn,26,31,rotoworld,22,wrT2,wr9,,-4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
E. Sanders,WR,DEN,7,espn,27,30,rotoworld,33,wrT3,wr15,,6,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
K. Benjamin,WR,CAR,5,espn,30,29,rotoworld,32,wrT3,wr14,,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Hopkins,WR,HOU,9,espn,31,28,rotoworld,31,wrT3,wr13,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
B. Cooks,WR,NO,11,espn,35,24,rotoworld,35,wrT3,wr17,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Matthews,WR,PHI,8,espn,40,20,rotoworld,34,wrT3,wr16,,-6,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Edelman,WR,NE,4,espn,41,20,rotoworld,44,wrT4,wr19,,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
S. Watkins,WR,BUF,8,espn,44,17,rotoworld,57,wrT5,wr24,,13,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
